episode,scenario,total_reward,avg_waiting_time,avg_queue_length,throughput,epsilon
1,S1_normal,-732.0,170.0,14.594594594594595,180,0.995
2,S2_equal_opposite,299.0,495.57894736842104,22.710526315789473,176,0.990025
3,S3_one_side_heavy,-267.0,357.86486486486484,18.08108108108108,90,0.985074875
4,S4_all_sides_heavy,-375.0,647.8055555555555,56.666666666666664,227,0.9801495006250001
5,S5_changing_traffic,148.0,285.44444444444446,23.02777777777778,196,0.9752487531218751
6,S6_sudden_surge,-197.0,132.33333333333334,8.75,82,0.9703725093562657
7,S1_normal,-1182.0,322.6388888888889,17.555555555555557,170,0.9655206468094844
8,S2_equal_opposite,55.0,223.46153846153845,18.743589743589745,207,0.960693043575437
9,S3_one_side_heavy,-345.0,173.11111111111111,16.52777777777778,91,0.9558895783575597
10,S4_all_sides_heavy,-594.0,1190.578947368421,60.71052631578947,244,0.9511101304657719
11,S5_changing_traffic,-917.0,247.71052631578948,20.394736842105264,226,0.946354579813443
12,S6_sudden_surge,-577.0,106.89189189189189,9.297297297297296,92,0.9416228069143757
13,S1_normal,-685.0,287.69444444444446,20.13888888888889,166,0.9369146928798039
14,S2_equal_opposite,-453.0,366.9189189189189,23.89189189189189,176,0.9322301194154049
15,S3_one_side_heavy,-146.0,277.13157894736844,18.526315789473685,104,0.9275689688183278
16,S4_all_sides_heavy,-1400.0,736.4444444444445,57.72222222222222,212,0.9229311239742362
17,S5_changing_traffic,-1012.0,271.97222222222223,26.194444444444443,195,0.918316468354365
18,S6_sudden_surge,-1261.0,127.97222222222223,10.027777777777779,91,0.9137248860125932
19,S1_normal,-823.0,233.33333333333334,17.916666666666668,173,0.9091562615825302
20,S2_equal_opposite,-395.0,403.9736842105263,21.263157894736842,185,0.9046104802746175
21,S3_one_side_heavy,-81.0,276.97435897435895,16.82051282051282,117,0.9000874278732445
22,S4_all_sides_heavy,-2586.0,865.6756756756756,57.108108108108105,234,0.8955869907338783
23,S5_changing_traffic,-829.0,311.8888888888889,26.38888888888889,188,0.8911090557802088
24,S6_sudden_surge,5.0,93.4054054054054,8.783783783783784,88,0.8866535105013078
25,S1_normal,-1249.0,388.5945945945946,21.783783783783782,176,0.8822202429488013
26,S2_equal_opposite,659.0,328.7567567567568,20.783783783783782,196,0.8778091417340573
27,S3_one_side_heavy,41.0,187.16666666666666,15.777777777777779,100,0.8734200960253871
28,S4_all_sides_heavy,-1472.0,803.0833333333334,53.72222222222222,217,0.8690529955452602
29,S5_changing_traffic,-324.0,333.56756756756755,24.54054054054054,208,0.8647077305675338
30,S6_sudden_surge,-520.0,78.11111111111111,8.722222222222221,85,0.8603841919146962
31,S1_normal,-1203.0,182.10526315789474,13.973684210526315,184,0.8560822709551227
32,S2_equal_opposite,-595.0,202.82857142857142,19.4,171,0.851801859600347
33,S3_one_side_heavy,-378.0,193.33333333333334,16.583333333333332,99,0.8475428503023453
34,S4_all_sides_heavy,-1064.0,787.1351351351351,60.513513513513516,249,0.8433051360508336
35,S5_changing_traffic,-959.0,383.1621621621622,31.0,181,0.8390886103705794
36,S6_sudden_surge,-407.0,76.11111111111111,8.166666666666666,83,0.8348931673187264
37,S1_normal,-1243.0,175.5,12.236842105263158,197,0.8307187014821328
38,S2_equal_opposite,-397.0,221.13888888888889,20.63888888888889,165,0.8265651079747222
39,S3_one_side_heavy,-242.0,233.8918918918919,16.16216216216216,106,0.8224322824348486
40,S4_all_sides_heavy,-2359.0,912.8108108108108,58.270270270270274,234,0.8183201210226743
41,S5_changing_traffic,-977.0,435.4864864864865,27.64864864864865,194,0.8142285204175609
42,S6_sudden_surge,-157.0,96.24324324324324,9.783783783783784,101,0.810157377815473
43,S1_normal,-990.0,203.83783783783784,15.486486486486486,176,0.8061065909263957
44,S2_equal_opposite,-171.0,239.51351351351352,22.054054054054053,192,0.8020760579717637
45,S3_one_side_heavy,43.0,175.2972972972973,16.81081081081081,98,0.798065677681905
46,S4_all_sides_heavy,-417.0,703.8108108108108,59.567567567567565,248,0.7940753492934954
47,S5_changing_traffic,-119.0,420.30555555555554,28.333333333333332,170,0.7901049725470279
48,S6_sudden_surge,-243.0,116.22222222222223,8.277777777777779,91,0.7861544476842928
49,S1_normal,-535.0,243.48648648648648,16.945945945945947,197,0.7822236754458713
50,S2_equal_opposite,-1879.0,629.7894736842105,25.92105263157895,170,0.778312557068642
51,S3_one_side_heavy,-286.0,196.92105263157896,16.57894736842105,114,0.7744209942832988
52,S4_all_sides_heavy,-586.0,1249.3157894736842,66.78947368421052,258,0.7705488893118823
53,S5_changing_traffic,-237.0,256.80555555555554,24.916666666666668,199,0.7666961448653229
54,S6_sudden_surge,-69.0,84.88888888888889,8.916666666666666,98,0.7628626641409962
55,S1_normal,-460.0,98.69444444444444,9.333333333333334,183,0.7590483508202912
56,S2_equal_opposite,-157.0,273.1621621621622,21.324324324324323,179,0.7552531090661897
57,S3_one_side_heavy,-357.0,250.9189189189189,16.72972972972973,105,0.7514768435208588
58,S4_all_sides_heavy,-596.0,679.8611111111111,60.47222222222222,237,0.7477194593032545
59,S5_changing_traffic,-286.0,417.56756756756755,27.10810810810811,183,0.7439808620067382
60,S6_sudden_surge,-106.0,74.25,8.5,94,0.7402609576967045
